tabla,fila,magnitud,modelo,c,P,CAP,publicado,replicado,dif_relativa,veredicto,estado_solver,linea_tex
resultadosprecision,"1:100,000,000",pi_a,precision,4e6,,1e+08,270.13,163.72769349581264,-0.393893,difiere,Cumulative minor iterlim met,886
resultadosprecision,"2:200,000,000",theta,precision,4e6,,2e+08,240400000.0,441023976.7887766,0.834542,difiere,Cumulative minor iterlim met,887
resultadosprecision,"2:200,000,000",rend,precision,4e6,,2e+08,0.798,2.003119883943893,1.510175,difiere,Cumulative minor iterlim met,887
resultadosprecision,"2:200,000,000",ratio,precision,4e6,,2e+08,1.202,2.205119883943883,0.834542,difiere,Cumulative minor iterlim met,887
resultadosprecision,"2:200,000,000",pi_a,precision,4e6,,2e+08,155.15,69.63178291431738,-0.551197,difiere,Cumulative minor iterlim met,887
resultadosprecision,"3:300,000,000",theta,precision,4e6,,3e+08,354508234.0,549551627.8395478,0.55018,difiere,A stationary point was found,888
resultadosprecision,"3:300,000,000",rend,precision,4e6,,3e+08,0.798,1.629838759465164,1.042404,difiere,A stationary point was found,888
resultadosprecision,"3:300,000,000",ratio,precision,4e6,,3e+08,1.182,1.8318387594651593,0.549779,difiere,A stationary point was found,888
resultadosprecision,"3:300,000,000",pi_a,precision,4e6,,3e+08,39.07,58.3224925271196,0.492769,difiere,A stationary point was found,888
resultadosprecision,"4:400,000,000",theta,precision,4e6,,4e+08,435648945.0,643108872.5762625,0.476209,difiere,A stationary point was found,889
resultadosprecision,"4:400,000,000",rend,precision,4e6,,4e+08,0.798,1.4057721814406583,0.761619,difiere,A stationary point was found,889
resultadosprecision,"4:400,000,000",ratio,precision,4e6,,4e+08,1.089,1.6077721814406563,0.476375,difiere,A stationary point was found,889
resultadosprecision,"4:400,000,000",pi_a,precision,4e6,,4e+08,33.93,50.15882768390606,0.478303,difiere,A stationary point was found,889
resultadosprecision,"5:500,000,000",theta,precision,4e6,,5e+08,590042475.0,585113441.8249705,-0.008354,difiere,A stationary point was found,890
resultadosprecision,"5:500,000,000",rend,precision,4e6,,5e+08,0.798,1.1741034874435483,0.471308,difiere,A stationary point was found,890
resultadosprecision,"5:500,000,000",ratio,precision,4e6,,5e+08,1.18,1.170226883649941,-0.008282,difiere,A stationary point was found,890
resultadosprecision,"5:500,000,000",pi_a,precision,4e6,,5e+08,38.83,43.32375885219388,0.115729,difiere,A stationary point was found,890
resultadosprecision,"6:600,000,000",theta,precision,4e6,,6e+08,721200000.0,705876305.309722,-0.021247,difiere,A stationary point was found,891
resultadosprecision,"6:600,000,000",rend,precision,4e6,,6e+08,0.798,0.9999999939574855,0.253133,difiere,A stationary point was found,891
resultadosprecision,"6:600,000,000",ratio,precision,4e6,,6e+08,1.202,1.1764605088495366,-0.021247,difiere,A stationary point was found,891
resultadosprecision,"6:600,000,000",pi_a,precision,4e6,,6e+08,39.2,35.45415330628745,-0.095557,difiere,A stationary point was found,891
resultadosprecision,"7:700,000,000",theta,precision,4e6,,7e+08,673836382.0,607793204.6379118,-0.098011,difiere,A stationary point was found,892
resultadosprecision,"7:700,000,000",rend,precision,4e6,,7e+08,0.798,0.9999999999998153,0.253133,difiere,A stationary point was found,892
resultadosprecision,"7:700,000,000",ratio,precision,4e6,,7e+08,0.963,0.8682760066255882,-0.098363,difiere,A stationary point was found,892
resultadosprecision,"7:700,000,000",pi_a,precision,4e6,,7e+08,35.74,0.0,-1.0,difiere,A stationary point was found,892
resultadosprecision,"8:800,000,000",theta,precision,4e6,,8e+08,757247245.0,857988266.3110104,0.133036,difiere,A stationary point was found,893
resultadosprecision,"8:800,000,000",rend,precision,4e6,,8e+08,0.798,0.9999999969896393,0.253133,difiere,A stationary point was found,893
resultadosprecision,"8:800,000,000",ratio,precision,4e6,,8e+08,0.947,1.072485332888763,0.132508,difiere,A stationary point was found,893
resultadosprecision,"8:800,000,000",pi_a,precision,4e6,,8e+08,35.74,25.621563244611025,-0.283112,difiere,A stationary point was found,893
resultadosprecision,"9:900,000,000",theta,precision,4e6,,9e+08,851903151.0,718199999.8443394,-0.156946,difiere,A stationary point was found,894
resultadosprecision,"9:900,000,000",rend,precision,4e6,,9e+08,0.798,1.0000000001729563,0.253133,difiere,A stationary point was found,894
resultadosprecision,"9:900,000,000",ratio,precision,4e6,,9e+08,0.947,0.7979999998270437,-0.157339,difiere,A stationary point was found,894
resultadosprecision,"9:900,000,000",pi_a,precision,4e6,,9e+08,35.74,0.0,-1.0,difiere,A stationary point was found,894
resultadosprecision,"10:1,000,000,000",theta,precision,4e6,,1e+09,947173004.0,798000000.0008367,-0.157493,difiere,A stationary point was found,895
resultadosprecision,"10:1,000,000,000",rend,precision,4e6,,1e+09,0.798,0.9999999999991633,0.253133,difiere,A stationary point was found,895
resultadosprecision,"10:1,000,000,000",ratio,precision,4e6,,1e+09,0.947,0.7980000000008367,-0.157339,difiere,A stationary point was found,895
resultadosprecision,"10:1,000,000,000",pi_a,precision,4e6,,1e+09,35.74,0.0,-1.0,difiere,A stationary point was found,895
