archivo,linea,tipo,etiqueta_latex,titulo,fila,columna,valor_crudo,valor
inattention_energy_prices.tex,693,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"2:200,000,000",0,"200,000,000",200000000.0
inattention_energy_prices.tex,693,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"2:200,000,000",1,"289,888,820",289888820.0
inattention_energy_prices.tex,693,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"2:200,000,000",2,0.798,0.798
inattention_energy_prices.tex,693,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"2:200,000,000",3,1.449,1.449
inattention_energy_prices.tex,693,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"2:200,000,000",4,141.56,141.56
inattention_energy_prices.tex,694,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"3:300,000,000",0,"300,000,000",300000000.0
inattention_energy_prices.tex,694,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"3:300,000,000",1,"434,833,230",434833230.0
inattention_energy_prices.tex,694,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"3:300,000,000",2,0.798,0.798
inattention_energy_prices.tex,694,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"3:300,000,000",3,1.449,1.449
inattention_energy_prices.tex,694,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"3:300,000,000",4,103.33,103.33
inattention_energy_prices.tex,695,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"4:400,000,000",0,"400,000,000",400000000.0
inattention_energy_prices.tex,695,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"4:400,000,000",1,"579,777,640",579777640.0
inattention_energy_prices.tex,695,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"4:400,000,000",2,0.798,0.798
inattention_energy_prices.tex,695,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"4:400,000,000",3,1.449,1.449
inattention_energy_prices.tex,696,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"5:500,000,000",0,"500,000,000",500000000.0
inattention_energy_prices.tex,696,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"5:500,000,000",1,"653,754,577",653754577.0
inattention_energy_prices.tex,696,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"5:500,000,000",2,0.905,0.905
inattention_energy_prices.tex,696,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"5:500,000,000",3,1.308,1.308
inattention_energy_prices.tex,696,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"5:500,000,000",4,37.27,37.27
inattention_energy_prices.tex,697,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"6:600,000,000",0,"600,000,000",600000000.0
inattention_energy_prices.tex,697,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"6:600,000,000",1,"619,939,821",619939821.0
inattention_energy_prices.tex,697,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"6:600,000,000",2,0.999,0.999
inattention_energy_prices.tex,697,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"6:600,000,000",3,1.033,1.033
inattention_energy_prices.tex,697,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"6:600,000,000",4,40.43,40.43
inattention_energy_prices.tex,698,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"7:700,000,000",0,"700,000,000",700000000.0
inattention_energy_prices.tex,698,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"7:700,000,000",1,"661,258,561",661258561.0
inattention_energy_prices.tex,698,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"7:700,000,000",2,0.997,0.997
inattention_energy_prices.tex,698,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"7:700,000,000",3,0.945,0.945
inattention_energy_prices.tex,698,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"7:700,000,000",4,36.42,36.42
inattention_energy_prices.tex,699,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"8:800,000,000",0,"800,000,000",800000000.0
inattention_energy_prices.tex,699,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"8:800,000,000",1,"610,913,181",610913181.0
inattention_energy_prices.tex,699,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"8:800,000,000",2,0.944,0.944
inattention_energy_prices.tex,699,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"8:800,000,000",3,0.764,0.764
inattention_energy_prices.tex,699,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"8:800,000,000",4,31.28,31.28
inattention_energy_prices.tex,700,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"9:900,000,000",0,"900,000,000",900000000.0
inattention_energy_prices.tex,700,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"9:900,000,000",1,"609,127,279",609127279.0
inattention_energy_prices.tex,700,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"9:900,000,000",2,0.896,0.896
inattention_energy_prices.tex,700,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"9:900,000,000",3,0.677,0.677
inattention_energy_prices.tex,700,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"9:900,000,000",4,31.21,31.21
inattention_energy_prices.tex,701,tabla,resultadostasacuadrada,Quadratic Rate CAP variation results.,"10:1,000,000,000",0,"1,000,000,000",1000000000.0
